序号,阵营,角色,日文名,初始兵种,职业偏向（图鉴·战斗特征）,技能倾向（按武器等级归纳）,擅长技能(日文站),推荐兵种(日文站),推荐职业路线(欧美站),擅长技能(欧美站),HP,力量,魔力,速度,技巧,防守,魔防,幸运,魅力,成长合计,剑术,枪术,斧术,弓术,格斗术,黑魔法,白魔法,指挥,步兵,马术,重装,飞行,个人技能,习得技能,战技,初始魔法,初始装备,血印1,血印2,声优,说明
11,拉米努一家,米迦艾拉,ミカエラ,土匪,战斗中擅长白刃战的米卡拉,—,斧术・弓术・步兵,勇士,斗士 ▼ 土匪 ▼ 勇士,斧术・弓术・步兵,50,45,30,40,35,40,25,30,40,335,—,—,—,—,—,—,—,—,—,—,—,—,身经百战：与相邻敌人战斗时，命中+10,,,,,,,平田 宏美,为了赚取独生女的教育费而来到鞑古西翁的前佣兵。 现役时期是被称为“铁血的米卡埃拉”的实力者，连号称“巴佛斯的鬼熊”的巴卡尼亚也听说过她的名号。
12,梅加埃拉的灯火,波拿帕尔特,ボナパルテ,诅咒师,—,—,剑术・白魔法・黑魔法・指挥,先知,诅咒师 ▼ 萨满巫师 ▼ 祭司※,指挥・白魔法・黑魔法・剑术,35,35,45,40,50,30,40,35,40,350,—,—,—,—,—,—,—,—,—,—,—,—,出谋划策：相邻己方技巧+3,,,,,,,鶴岡 聡,作为主人公赛奥多拉的得力助手，至今仍在前线活跃 的 萨拉弥斯 王国 的贤将。 在禁止使用文字的王国中，他记忆 着 萨拉弥斯 的 历史和智慧的一切。
13,梅加埃拉的灯火,托比亚斯,トビヤス,重装步兵,守备数值高，适合担任盾役的角色,—,斧术・马术・重装,巨重甲骑士,斗士 ▼ 土匪 ▼ 勇士,斧术・马术,55,60,15,25,30,45,20,40,35,325,—,—,—,—,—,—,—,—,—,—,—,—,大招：以战技攻击时，攻击力+3,,,,,,,利根 健太朗,称女王赛奥多拉为“小姐”的，以力量和防御为傲 的 萨拉弥斯 刚毅 之将。 与波拿巴一样，从先代国王的时代起就为国家效力，在战场上立下无数战功。 不擅长动脑筋，很难记住别人的名字。
14,梅加埃拉的灯火,莉莉安,リリアン,平民,—,—,弓术・步兵,狙击手 ｜ 游侠 ｜ 神金骑士,猎兵 ▼ 弓箭手 ▼ 狙击手,弓术・步兵,35,35,30,40,55,30,35,50,25,335,—,—,—,—,—,—,—,—,—,—,—,—,稳妥之策：战斗时若敌人无法反击，命中+10,,,,,,,斉藤 朱夏,萨拉米斯的年轻弓兵。视金钱高于一切，对主人赛奥朵拉也常有失礼言行，但弓术确实了得。身世略为复杂，在内乱导致父亲失势之前出身名门。
15,梅加埃拉的灯火,莱桑德,ライサンダー,—,—,—,枪术・斧术・马术・飞行,荣光骑士 ｜ 龙骑士,斗士 ▼ 轻骑兵 ▼ 荣光骑士,斧术・飞行・马术・枪术,45,40,25,50,35,40,25,30,30,320,—,—,—,—,—,—,—,—,—,—,—,—,疾走攻击：先手战斗时，回避+15,,,,,,,柳田 淳一,萨拉米斯的俊才骑士。出身名门，叔父是现任宰相，父亲也以伟大战士之名载入王国史册。忠诚且实力出众，但因不想倚靠血统、想凭功绩立身，有时也会冒进。
16,蔷薇风暴,巴卡尼亚,バッカニア,平民,守备型角色；战斗中以强韧肉体挡下敌人攻击，再用擅长的斧头反击,斧术D・马术E+・重装E+ 向,枪术・斧术・马术・重装,巨重甲骑士,斗士 ▼ 轻骑兵 ▼ 荣光骑士,斧术・枪术,50,50,20,25,40,45,20,30,35,315,E,E+,D,E,E,E,E,E+,E,E+,E+,E,守护骑士的职责：被攻击时，受到的伤害降为90%,,尖刺,,青铜斧,,,石井 隆之,拥有“鬼熊”异名的历战武人。 长年侍奉主人公蕾达的父亲，因此留有余韵，也会出现称蕾达为“公主”的场面。 虽陪伴蕾达踏上复仇之旅，心中却怀抱着复杂的情感。
17,蔷薇风暴,西洛可,シロッコ,平民,战斗中轻巧地交替使用剑与魔法，玩弄敌人于股掌,黑魔法D・白魔法D・剑术D 向,剑术・黑魔法・白魔法・指挥,先知,诅咒师 ▼ 萨满巫师 ▼ 祭司※,指挥・白魔法・黑魔法・剑术,40,40,40,45,50,35,35,50,45,380,D,E,E,E,E,D,D,E,E,E,E,E,女神的恩宠：战斗后，自身回复5 HP,,両断,风・回复,青铜剑,,,三浦 勝之,现身于正在复仇之旅的蕾达面前的、充满谜团的吟游诗人。 自称“反复无常的风”，一见到美丽女性就必定上前搭讪，性格轻浮，却也兼备敏锐的洞察力与深厚的教养。
18,蔷薇风暴,奥琳琵娅,オリンピア,诅咒师,魔法型角色；精通白魔法的奥林匹亚,白魔法D・黑魔法E+ 向,斧术・白魔法,主教,诅咒师 ▼ 萨满巫师 ▼ 祭司※,斧术・白魔法,40,30,65,35,40,25,50,40,40,365,E,E,E,E,E,E+,D,E,E,E,E,E,好胜心：装备魔法时，必杀+10,,,吸血・回复,,,,巽 悠衣子,鞑古希翁上层卡拉神殿侍奉的热情神官。 被授予“卡尔瑟斯的玫瑰”称号，拥有歌唱与艺术的天赋。 似乎与蕾达有过去的恩怨，燃烧着强烈的竞争心。
19,蔷薇风暴,穆,ムウ,平民,战斗中以护手进行近身战造成伤害,格斗术D 向,剑术・斧术・格斗术・白魔法,勇士,斗士 ▼ 土匪 ▼ 勇士,斧术・格斗术・白魔法・剑术,50,50,25,50,50,40,30,30,40,365,E,E,E,E,D,E,E,E,E,E,E,E,成长的征兆：升级时基本能力更易成长,,活殺一撃,,木制手甲,,,山口 茜,为了寻找音讯全无的母亲而离家出走的、还带着一丝稚气的少女。 在追寻母亲下落的过程中，遇到了继续复仇之旅的蕾达。 为了从各种危险中保护自己，有意让自己的打扮和语气变得有点男性化。
20,炎之鬃,贝尔特兰,ベルトラン,—,—,—,剑术・斧术・格斗术・指挥,—,—,—,50,55,15,45,50,45,20,30,50,360,—,—,—,—,—,—,—,—,—,—,—,—,铠葬流：战斗时5%发动，无视攻速进行追击,,,,,,,安元 洋貴,在达古席翁竞技场持续战斗的剑斗士。因其鬼神般的强悍而有「白发鬼」的异名。据说5年前犯下大罪，被收监于竞技场地下的牢狱。
21,炎之鬃,盖茨,ゲイツ,—,—,—,枪术・斧术・马术,—,无畏重甲※,斧术・马术・枪术,50,50,20,40,45,45,25,40,45,360,—,—,—,—,—,—,—,—,—,—,—,—,助刀：相邻己方防守+3,,,,,,,小柳 良寛,在达古席翁竞技场以剑斗士身份活动的、智勇兼备的一流武艺者。曾在东方名为「赛」的国家修行，战斗经验极其丰富。
22,炎之鬃,丹提,ダンテ,平民,—,黑魔法D・白魔法D 向,白魔法・指挥・黑魔法,—,诅咒师 ▼ 萨满巫师 ▼ 祭司※,指挥・白魔法・黑魔法,30,30,45,40,40,20,40,45,30,320,E,E,E,E,E,D,D,E,E,E,E,E,战场的编排：周围2格内己方战斗时，以该己方(魅力÷2)%概率发动，该己方回避+10,,,风,风,,,鹫见 友美Jena,在地下城中作为剧作家活动的文豪。是创作欲望的化身，对感兴趣的事物都想融入作品的贪婪个性。也是高超的魔法使用者。●喜欢的东西：自己、寻找戏剧性主题、人际关系（采访）、他人的演出
23,月之谎言,谭利穆恩,タリムーン,萨满,—,—,剑术・黑魔法・指挥,—,—,—,45,40,45,40,45,35,40,60,50,400,—,—,—,—,—,—,—,—,—,—,—,—,冒险王的英运：幸运+3,,,,,魂魄天冠：攻击时25%发动，攻击力+3,,三木 眞一郎,胸怀巨大野心，堪称鞑古扎首屈一指的大商人。好奇心旺盛，对伴随危险的冒险情有独钟。周身总萦绕着一股轻浮而难以捉摸的气息。
24,月之谎言,乌修拉,ウーシュラ,猎兵,—,—,剑术・弓术・格斗术,—,猎兵 ▼ 弓箭手 ▼ 狙击手,弓术・剑术,40,35,35,50,50,35,30,40,45,360,—,—,—,—,—,—,—,—,—,—,—,—,商会管理人：包括自身，周围2格内的己方可使用道具袋,,,,,,,八卷 Anna,鞑古扎首屈一指的商会「万德尔商会」的支配人。仅次于首席总支配人塔里穆恩的权限。 对商会资金进行细致管理，也常有严厉追问塔里穆恩奢侈支出的场面。
25,月之谎言,西蒙,シモン,平民,—,步兵D・斧术D・剑术E+ 向,剑术・斧术・步兵,—,斗士 ▼ 土匪 ▼ 勇士,斧术・步兵・剑术,50,50,20,35,40,40,25,50,35,345,E+,E,D,E,E,E,E,E,D,E,E,E,死里逃生：自身HP≥2且受到会使HP归零的伤害时，以幸运%概率发动，HP保留1点,白刃的距离,,,青铜斧,,,小林 親弘,无数次穿越死亡线而存活下来的战斗专家。 作为佣兵四处巡回时与塔里蒙相遇，也开始承接万达尔商会的任务。 被战场上才能感受到的紧张感所吸引，持续追求那种刺激。
26,莉娜莉娅的朝露,欧露赫露,オルヘル,诅咒师,—,—,斧术・黑魔法,—,—,—,30,60,45,10,20,60,60,20,60,365,—,—,—,—,—,—,—,—,—,—,—,—,牢不可破：防守+5，视为重装；无法转职为骑兵、飞行兵种,,,,,魂魄天冠：攻击时25%发动，攻击力+3,使徒天冠：攻击时20%发动，命中+20,本渡 楓,在鞑古希翁上层的克莱尔神殿侍奉的神秘少女。 总是用标志性的猫面具隐藏真容。 纯真无邪，对任何人都会温柔礼貌地对待，但同时也有天然且不谙世事的面。
27,莉娜莉娅的朝露,迪雅各,ディエゴ,平民,—,弓术D・剑术D 向,剑术・弓术・步兵,—,斗士 ▼ 剑客 ▼ 侍道,弓术・步兵・剑术,45,40,20,45,60,35,20,35,30,330,D,E,E,D,E,E,E,E,E,E,E,E,保镖：相邻己方战斗时5%发动，该己方不会被追击,,,,青铜剑,,,高梨 謙吾,擅长战斗的“哈尔·哈里族”出身的青年。手臂和上半身刻有部族特有的文样。 沉默寡言且不善言辞，但对克莱尔神殿的祭司·奥尔赫尔誓言终生忠诚，并追随其左右。
28,莉娜莉娅的朝露,妮涅,ニネ,平民,—,马术D・白魔法D・枪术D 向,枪术・白魔法・马术,—,诅咒师 ▼ 牧师 ▼ 主教,白魔法・枪术,45,45,35,35,45,35,45,50,40,375,E,D,E+,E,E,E,D,E,E,D,E,E,精灵之声：战斗时若敌人使用魔法，命中・回避+10,骑士的直觉,,,青铜枪,孤高天冠：攻击时10%发动，命中+30,,篠原 侑,与猫假面的欧露赫露一样，是侍奉克莱尔神殿的神秘少女。 她被任命为神位直属精锐部队“巴尔坎”的成员，拥有“黑丽丝之妮涅”的异名。 据说她能听见精灵的声音。
29,白鸦花嫁团,爱娜特莉亚,アナトリア,诅咒师,战斗中除用携带火器「沙罗曼达」远程攻击外，还能以气功体术应付近身战，更能操控罕见的魔法,—,格斗术・黑魔法・步兵,—,—,—,40,35,50,50,45,35,40,40,50,385,—,—,—,—,—,—,—,—,—,—,—,—,流気巧：回避+3,,,,,,,小笠原 亜里沙,为了拯救故乡的同胞而战斗的白妙少女。 由于其外貌，被称为“神秘的新娘”。 好说是大凉，难说是感情匮乏的性格，有时会无意中惹怒对方。
30,白鸦花嫁团,沙兰,サラン,平民,—,黑魔法D・白魔法D・指挥D 向,枪术・白魔法・指挥,—,诅咒师 ▼ 牧师 ▼ 主教,指挥・白魔法・枪术,35,30,45,35,50,30,45,35,40,345,E,E+,E,E,E,D,D,D,E,E,E,E,挽留役：使用「拉近」后，可使用辅助魔法,,,,沙罗曼达,,,矢作 紗友里,兰 擅长精灵魔法，散发著沉稳气质的女性。 可让陷入危机的同伴退到后方，并治愈其伤口。 照顾爱娜特莉亚、学习
31,白鸦花嫁团,哪吒,ナジャ,平民,—,步兵D・剑术D・格斗术E+ 向,剑术・格斗术・步兵,—,斗士 ▼ 剑客 ▼ 侍道,格斗术・步兵・剑术,45,45,25,45,50,35,25,30,25,325,D,E,E,E,E+,E,E,E,D,E,E,E,先手必胜：先手战斗时50%发动，攻击力+3,白刃的距离,,,木剑,,,葉山 翔太,拥有超乎常人的力量，精力充沛的少年剑客。 只要占得先机，攻势便会进一步增强。 锻炼武术、大吃大喝
32,无所属,古扎岚,グザラン,斗士,—,步兵D・格斗术D・斧术D 向,剑术・格斗术・步兵,侍道,斗士 ▼ 剑客 ▼ 侍道,格斗术・步兵・剑术,45,45,20,50,45,35,20,45,30,335,D,E,D,E,D,E,E,E,D,E,E,E,情绪化：战斗时，命中・回避・必杀其中之一+10,白刃的距离,,,青铜剑,,,金子 隼人,豪放不羁、随心所欲的佣兵。 经历过无数生死战场，在同伴中被称为“不死的古扎兰”。 因为老是吹牛而不被理睬的时候居多，但拥有确凿的实力。
33,无所属,伊欧,イオ,轻骑兵,以机动力见长的单位,马术C・枪术C・剑术C 向,枪术・斧术・马术,荣光骑士,斗士 ▼ 轻骑兵 ▼ 荣光骑士,斧术・马术・枪术,45,40,25,35,45,40,25,35,35,325,C,C,D,E,E,E,E,E,E,C,E,E,与爱马的默契：【骑兵】先手战斗时，防守+3、回避+30,上下马・骑乘突击・枪术Lv.1・骑士的直觉,,,铁枪,,,小林 秀行,在地下城作为佣兵谋生的、志向高远的青年。 过去为了守护民众的幸福，作为骑士侍奉阿拉戈王国，但对国王独断专行的行为感到厌烦而逃离了阿拉戈。
34,无所属,卡塔妮雅,カターニャ,平民,以速度见长的单位,飞行D・枪术D・剑术E+ 向,剑术・枪术・飞行,侍道 ｜ 龙骑士,斗士 ▼ 剑客 ▼ 侍道,枪术・剑术,35,35,35,55,50,30,35,40,45,360,E+,D,E,E,E,E,E,E,E,E,E,D,疾风：战斗时若自身攻速比敌高3以上，命中+20,读风,,,木枪,,,饭田 Hikaru,在地下城寻找条件优越的雇主的、骄傲的骑士。 曾侍奉某位贵族，但因五年前的事件而失去一切。 虽然生活并不宽裕，但她装作若无其事的样子。
35,无所属,努蒂奴,ヌディーヌ,平民,骑乘「飞驼」的兵种，可越过障碍物移动,马术D・飞行D・斧术D 向,斧术・黑魔法・飞行・马术,—,斗士 ▼ 轻骑兵 ▼ 荣光骑士,斧术・飞行・马术,45,40,30,45,40,30,25,35,35,325,E,E,D,E,E,E+,E,E,E,D,E,D,强行突破：【骑兵】可穿过敌人所在格移动（自身为大型单位时无效）,骑士的直觉・读风,,,木斧,,,三浦 冴子,在鞑古希翁从事佣兵行业的女性。 原本出身于萨拉弥斯王国，是连贤将波拿帕尔特也认可的模范战士。 因数年前的内乱而开始流浪于鞑古扎之地，直至今日。
36,雷云骑士团,班迪兹,ベンディッツ,战车兵,乘坐战车作战,马术C・弓术C・枪术D 向,弓术・指挥・马术,—,斗士 ▼ 剑客 ▼ 侍道,弓术・马术,50,35,20,35,50,35,25,30,35,315,E,D,D,C,E,E,E,E+,E,C,E,E,车上战斗术：【骑兵】自身为「战车兵」时，命中+20,战车装甲・战车兵战术・战车兵之道・战车骑手・弓术Lv.1・骑士的直觉,,,铁弓,,,近藤 浩徳,自称“大声地”将军的独眼老骑士。 曾在神殿担任百夫长，但几年前因丑闻失去立足之地，如今以佣兵为生。
37,泰勒斯白银骑士团,亚历珊德拉,アレキサンドラ,天翼兵,骑乘爱马「布凯帕拉斯」作战，因此也能进入步兵无法通行的地形,—,剑术・枪术・飞行,—,斗士 ▼ 剑客 ▼ 侍道,飞行・枪术・剑术,30,35,35,55,45,30,40,50,50,370,—,—,—,—,—,—,—,—,—,—,—,—,白银少女：每有1名相邻己方，自身命中・回避+5,,,,,,,芝崎 典子,在地下城上层的祖拉神殿侍奉的、娇美的天马骑士。 在街头巷尾被称为“银之乙女”，拥有相当高的人气。 由于出身名门且环境优渥，据说也有不少嫉妒她的声音。
38,无所属,内森,ネイサン,—,—,—,枪术・马术,—,—,—,,,,,,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,
39,阿拉戈精锐部队,齐利科,キリーク,—,—,—,剑术・马术,—,—,—,45,50,15,60,50,35,20,30,35,340,—,—,—,—,—,—,—,—,—,—,—,—,冷静沉着：后手战斗时，攻速+3、回避+10,,,,,,,岩澤 俊樹,拥有卓越头脑与狡黠的阿拉戈王国将军。与赤骑士内森并称「阿拉戈双璧」，勇名响彻达古扎全境。为人爱讽刺，对任何事都抱持玩世不恭的态度。
40,救世主军,红花,コウカ,先知,—,黑魔法A・白魔法C・步兵D 向,白魔法・黑魔法,—,祭司※,白魔法・黑魔法,40,30,45,45,45,30,45,30,40,350,E,E,E,E,E,A,C,D,D,E,E,E,朱明：装备魔法时，命中+10,黑魔术的探求・魔法命中+5・黑魔术Lv.5,,波尔加农,伤药,,,大津 愛理,引导命运女神福尔图娜前往「禁断之地」、协助救世主诞生的女性。自知过去犯下大罪，为偿还罪业，决心即便牺牲自身也要战斗。
41,救世主军,特洛亚,トロイア,战斗武僧,—,白魔法A・格斗术A・步兵D 向,格斗术・白魔法・黑魔法,—,战斗武僧,格斗术・白魔法・黑魔法,40,45,45,50,40,30,30,30,30,340,E,E,E,E,A,E,A,D,D,E,E,E,云手：装备手甲时，命中+10,战技装备+3・白魔术的探求・格斗回避+7・格斗术Lv.5・白魔术Lv.5,豪拳一撃過圧縮光弾,回复,刻耳柏洛斯・银制手甲・伤药,,,仲村 香织,接到为伊修玛尔准备肉体之人的联络，加入救世主军的可靠老战士。与历代萨拉米斯王都有交情，赛奥朵拉幼时曾叫她「大婆婆」。
42,奥罗拉神殿,盛托利翁,セントリオン,重装兵,—,—,枪术・斧术・重装,—,—,—,45,45,25,40,50,50,30,30,30,345,—,—,—,—,—,—,—,—,—,—,—,—,钢玉的守护：敌方回合中，仅第1次战斗时受到的攻击伤害减半,,,,,,,武田 幸史,侍奉于欧若拉神殿的骑士。 拥有“钢玉”的称号，在神官中也是精锐中的精锐，被任命为“火神”部队的一员。 与凯的父亲卡斯托耳是旧识，两人是彼此信赖的存在。
43,无所属,诺克裘拉,ノクチュラ,平民,擅长以护手进行肉搏战,格斗术D・斧术E+ 向,斧术・格斗术・步兵,勇士,斗士 ▼ 土匪 ▼ 勇士,斧术・格斗术・步兵,50,45,20,45,40,40,20,35,30,325,E,E,E+,E,D,E,E,E,E,E,E,E,集中：战斗后回避+3（至下个自身回合）,,,,木制手甲,,,夏姬 凛子,以锻炼有素的肉体为傲的女剑斗士。 作为好战的部族之女出生，但对乡下的生活和村里的男人们感到厌烦，从幼年时期就向往的帝都鞑古希翁前来。
44,无所属,杨界,ヨーカイ,诅咒师,战斗中除擅长的魔法外也会使用斧头,黑魔法D・白魔法D・斧术E+ 向,斧术・白魔法,主教,诅咒师 ▼ 牧师 ▼ 主教 ▼ 战斗武僧,斧术・白魔法,50,35,40,35,35,30,40,40,25,330,E,E,E+,E,E,D,D,E,E,E,E,E,破戒僧：击倒敌人时，以(幸运÷2)%概率发动，回复等同最大HP的量,,,,木斧,,,喜屋武 和輝,游历诸国的破戒僧。 曾侍奉神殿，但十多年前成为流浪之人，如今在旅途中途经沓古希翁。 似乎年轻时曾远渡东方犀国。
45,索雷尔神殿,索绯亚,ソフィア,平民,—,白魔法D・黑魔法E+・弓术E+ 向,弓术・白魔法,主教,诅咒师 ▼ 牧师 ▼ 主教,弓术・白魔法,35,30,45,30,40,25,40,30,40,315,E,E,E,E+,E,E+,D,E,E,E,E,E,治疗心得：用魔法回复己方时，回复量+10,,,,,,,清都 有纱,侍奉达古席翁上层索雷尔神殿的神官。是个超级贪吃鬼，薪水似乎全花在伙食上。性格温和，但幼年时期是在一群粗野汉子中间度过的。
46,哈尔·哈里族,努佐,ヌッツォ,—,拥有无双杀伤技术的努佐，擅长攻击弱点,—,剑术・弓术,—,猎兵 ▼ 弓箭手 ▼ 狙击手,弓术・剑术,50,50,15,55,45,20,15,25,35,310,—,—,—,—,—,—,—,—,—,—,—,—,部族的秘技：战斗时若自身攻击对敌有效・特效，攻击力+3,,,,,,,秋葉 佑,杀戮技巧无与伦比的部族战士。 只要敌人暴露弱点，便会无情地攻其要害。 和森之精灵对话
47,无所属,马吉迪,マジーデ,平民,以体力与破坏力为傲的马吉德,斧术D・格斗术E+ 向,斧术・格斗术,—,斗士 ▼ 土匪 ▼ 勇士,斧术・格斗术,65,50,15,20,30,40,10,25,5,260,E,E,D,E,E+,E,E,E,E,E,E,E,暴斧：装备斧时，力量+3,,,,木斧,,,小野寺 悠貴,吉迪 在地下城游荡的著名无赖。 少年时代起行为不端，屡次因暴力事件而入狱，过着那样的日子。 为了成为街上的支配者，目标是在大剑斗祭中夺冠。
48,盖亚旅团,扎科内,ザーコネ,平民,陷入危机时会变强的单位,斧术D 向,剑术・斧术,—,斗士 ▼ 土匪 ▼ 勇士,斧术・剑术,40,30,20,35,60,30,25,30,15,285,E,E,D,E,E,E,E,E,E,E,E,E,斧庖丁：装备斧时，命中+10,,,,木斧,,,峰 晃弘,极恶非道的盗贼集团“盖亚旅团”的头领。 听闻大剑斗祭的传闻，带着手下们来到鞑古希翁。 战斗中，首先瞄准弱者的卑劣性格。
49,炎之鬃,歌利亚斯,ゴライアス,平民,—,斧术D 向,斧术・重装,—,斗士 ▼ 重装步兵 ▼ 无畏重甲※,斧术・重装,55,60,5,15,30,50,20,35,20,290,E,E,D,E,E,E,E,E,E,×,E,×,重量级战士：无法转职为骑兵、飞行兵种；体格+5,必殺守備,,,青铜斧,,,綿貫 竜之介,莱亚 斯 拥有“屠牛者”绰号的巨大剑斗士。 身高高达 2 米 50 厘米，拥有压倒性的力量和如岩石般坚硬的肉体。 在斗技场中常常被视为反派，实力虽强却似乎不太受欢迎。
