序号,阶级,兵种名,最低转职等级,纳入推荐,精通加成属性,精通加成值,转职条件,日文原名,兵种特性,使用武器,HP,力量,魔力,速度,技巧,防守,魔防,幸运,魅力,移动力,转职·主要技能,转职·选择技能,兵种技能,精通技能,精通战技,解放条件,代表角色,中文说明,备注
42,最上级职,龙骑统领,45,是,,,"推荐等级 45
解放条件：救世篇第1区分通关",ドラゴンマスター,飞行,剑术・枪术・斧术・飞行术,15,5,0,5,0,10,10,10,5,3,飞行术C,斧术A、枪术A,上下坐骑・战技装备+2,袭击,—,—,—,—,
43,最上级职,德鲁伊,45,是,,,"推荐等级 45
解放条件：救世篇第1区分通关",ドルイド,步兵,剑术・格斗术・黑魔法・步兵术,10,-5,30,10,15,-10,20,10,0,1,黑魔法A,—,黑魔法探求・魔法命中+7,魔防束缚,—,—,—,—,
44,最上级职,贤士,45,是,,,,ワイズマン,步兵,格斗术・白魔法・步兵术,10,-5,20,5,0,-10,25,20,10,1,白魔法A,—,白魔法探求・魔法回复+15,魔力掌握,—,—,—,—,
45,最上级职,战斗武僧,45,是,,,,バトルモンク,步兵,格斗术・白魔法・步兵术,15,10,0,15,0,5,15,5,5,1,白魔法D、格斗术B,—,战技装备+3・白魔法探求・格斗回避+7,—,打击与治疗,—,—,胸怀信仰挥拳的武僧，打击力强，同时能使用白魔法。,
46,最上级职,圣天翼兵,45,是,,,"推荐等级 45
解放条件：救世篇第1区分通关",聖天翼兵,飞行,剑术・枪术・飞行术,15,5,-5,10,5,5,15,15,10,3,飞行术C,枪术A、剑术A,上下坐骑・战技装备+1・飞行次数+7,迅雷风烈,—,—,—,—,
47,最上级职,重骑士※,45,是,,,,グレートナイト,骑兵・重装,剑术・枪术・斧术・马术・重装术,20,20,-5,-10,0,15,-10,0,5,2,重装术D、马术D,斧术A、枪术A,上下坐骑・战技装备+2・后攻守备+5,猛盾,—,救世篇第 3 章达成委托「克莱尔※的委托」,—,—,
48,最上级职,剑圣※,45,是,,,,ソードマスター,步兵,剑术・枪术・步兵术,15,10,0,20,15,0,0,5,5,1,剑术A,—,战技装备+3・剑必杀+7,—,流星,救世篇第 3 章达成委托「马兹※的委托」,—,—,
49,最上级职,高等墓志※,45,是,,,,ハイエピタフ,骑兵,剑术・黑魔法・马术,10,15,15,10,5,5,5,5,5,3,马术D、黑魔法D、剑术B,—,上下坐骑・战技装备+2・黑魔法探求,暗月,—,救世篇第 3 章达成委托「斯米尔诺斯※的委托」,—,—,
50,最上级职,弓骑士※,45,是,,,,ボウナイト,骑兵,剑术・弓术・马术,10,10,0,15,10,5,0,5,5,3,马术D、弓术A,—,上下坐骑・战技装备+2・弓命中+10,—,猎人十字,救世篇第 3 章达成委托「卡拉※的委托」,—,—,
51,最上级职,瓦尔基里姆※,45,是,,,,ヴァルキュリウム,骑兵,黑魔法・白魔法・马术,10,0,15,5,5,5,10,15,10,3,马术D,白魔法A、黑魔法A,上下坐骑・魔法回复+10・魔法命中+5,—,静心咒歌,救世篇第 3 章达成委托「朱拉※的委托」,—,—,
52,神将职,剑神将※,45,是,,,,ザ・ブレイド,步兵,剑术・枪术・步兵术,15,10,10,20,20,5,5,5,10,2,剑术S,—,战技装备+3・剑必杀+10,战神,—,天冠神殿※・歪形之间取得「神将考核道具」,—,—,
53,神将职,飞天女神将※,45,靠后,,,,ジ・アプサラス,步兵,剑术・弓术・步兵术,15,5,10,25,15,5,5,10,30,2,弓术C、剑术A,—,战技装备+3・起舞,神舞,—,天冠神殿※・乙女之间取得「神将考核道具」,—,—,
54,神将职,永恒神将※,45,是,,,,ジ・エターナル,步兵,剑术・斧术・格斗术・步兵术,30,30,0,10,0,15,0,0,10,2,—,格斗术S、斧术S、剑术S,战技装备+3・斧命中+10・格斗命中+10,战神,—,天冠神殿※・预言者之间取得「神将考核道具」,—,—,
55,神将职,神手将※,45,是,,,,ザ・ゴッドハンド,步兵,格斗术・白魔法・步兵术,15,10,10,15,5,10,15,5,10,2,白魔法C、格斗术S,—,战技装备+3・白魔法极限・格斗回避+10,神装,—,天冠神殿※・追随者之间取得「神将考核道具」,—,—,
56,神将职,灾厄神将※,45,是,,,,ザ・カラミティ,步兵,剑术・弓术・步兵术,15,5,15,25,20,5,15,15,5,2,—,弓术S、剑术S,战技装备+3・开锁・超级探索术,神命,—,天冠神殿※・歪形之间取得「神将考核道具」,—,—,
57,神将职,三叉戟神将※,45,是,,,,ザ・トライデント,步兵,枪术・白魔法・步兵术,15,15,5,10,10,15,15,5,10,2,枪术S,—,战技装备+3・魔法回复+10・白魔法极限,神壁,—,天冠神殿※・追随者之间取得「神将考核道具」,—,—,
58,神将职,骑士神将※,45,是,,,,ザ・キャバリアー,骑兵,枪术・剑术・斧术・马术,20,15,5,10,5,15,10,5,15,4,马术A,斧术S、枪术S、剑术S,上下坐骑・战技装备+3・黄金骑走,神技,—,天冠神殿※・天狼之间取得「神将考核道具」,—,—,
59,神将职,化身神将※,45,是,,,,ジ・アヴァタール,步兵,斧术・弓术・黑魔法・白魔法・步兵术,10,-5,30,10,5,-5,30,20,10,2,—,白魔法S、黑魔法S,魔法回复+10・全魔法极限・魔法回复+20,神法,—,天冠神殿※・预言者之间取得「神将考核道具」,—,—,
